City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
593,Porbandar,IN,79.54,overcast clouds,21.6422,69.6093,Lords Inn Porbandar
594,Petatlan,MX,84.2,clear sky,17.5167,-101.2667,Hotel California Petatlán
598,Kutum,SD,78.57,overcast clouds,14.2,24.6667,Dibbo areaمنطقة دبو
600,Auki,SB,84.92,broken clouds,-8.7676,160.7034,Auki Motel
605,Gizo,SB,84.94,broken clouds,-8.103,156.8419,Imagination Island
606,Lake Havasu City,US,89.6,clear sky,34.4839,-114.3224,Heat Hotel
607,Mongo,TD,84.24,broken clouds,12.1844,18.692999999999998,Résidences du Programme FIDA
608,Afua,BR,75.79,overcast clouds,-0.1567,-50.3867,Hotel Dias
611,Mitsamiouli,KM,81.0,overcast clouds,-11.3847,43.2844,Foyer ADM
616,Tabas,IR,79.0,overcast clouds,33.5959,56.9244,شرکت معماری مهراز شایگان آراد
619,Samarai,PG,84.29,scattered clouds,-10.6167,150.6667,Nuli Sapi
620,Angoche,MZ,75.92,overcast clouds,-16.2325,39.9086,Guest House HESADA
625,Namibe,AO,77.86,scattered clouds,-15.1961,12.1522,Hotel Chik Chik Namibe
627,Prainha,BR,75.9,broken clouds,-1.8,-53.48,Casa Rocha
630,Ojinaga,MX,86.0,clear sky,29.5667,-104.4167,Suites Las Palmas
631,Abaca,PH,81.32,overcast clouds,9.9204,124.5051,Baha Farm-Pasto
635,Ambon,ID,82.4,scattered clouds,-3.6954,128.1814,Swiss-Belhotel Ambon
641,Bilma,NE,86.7,clear sky,18.6853,12.9164,Expeditions Ténére voyages
643,Itupiranga,BR,75.85,broken clouds,-5.1347,-49.3267,Hotel Panorama
646,Eravur,LK,78.19,few clouds,7.7733,81.6095,Farhan KING House
648,Kandrian,PG,85.84,scattered clouds,-6.2167,149.55,Kandrian Station
649,Mbini,GQ,77.0,scattered clouds,1.574,9.6134,
650,Kismayo,SO,81.12,scattered clouds,-0.3582,42.5454,Agan-Hotel
652,Bima,ID,79.54,few clouds,-8.4667,118.7167,Lambitu Hotel
661,Phan Thiet,VN,81.72,broken clouds,10.9333,108.1,Hotel Saigon-PT
662,Nanning,CN,77.0,broken clouds,22.8167,108.3167,Nanning Travelling With Hostel
664,Bara,NG,82.62,overcast clouds,10.3744,10.7288,
667,Kieta,PG,80.01,overcast clouds,-6.2167,155.6333,Uruna Bay Retreat
672,Vigia Del Fuerte,CO,76.33,overcast clouds,6.5789,-76.8863,"Hotel ""El Parque"""
